estimate_number,estimate_date,customer_name,salesperson,estimate_subtotal,estimate_status,estimate_zoho_id,salesorder_number,salesorder_date,salesorder_status,salesorder_subtotal,so_dead_cost_total,so_dead_profit,so_profit,so_salesperson,salesorder_zoho_id,package_count,package_numbers,package_carriers,package_tracking_numbers,package_statuses,package_total_shipping_charge,po_count,dropship_count,po_vendors,dropship_vendors,po_statuses,po_total_cost,invoice_number,invoice_date,invoice_due_date,invoice_status,invoice_subtotal,invoice_dead_cost_total,invoice_dead_profit,invoice_profit,invoice_vig_rate,invoice_margin_pct,invoice_commission,invoice_balance,invoice_cc_fees,invoice_actual_shipping_cost,is_written_off,written_off_date,paid_in_full_date,invoice_zoho_id,payment_count,total_payments_received,payment_modes,last_payment_date
,,METCON LTD,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8409,2023-11-28,2023-12-28,paid,4799.76,1573.52,3226.24,2754.18,1.30,57.38,1377.09,0.00,0.00,135.74,,,18 Dec 2023,1254360000019561864,1,4935.50,CHECK,2023-12-18
,,METCON LTD,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8408,2023-11-28,2023-12-28,paid,0.00,20.00,-20.00,-20.00,1.30,0.00,-10.00,0.00,0.00,0.00,,,,1254360000019561776,0,0.00,,
,,BARNETT MASONRY,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8407,2023-11-28,2023-12-28,paid,1100.00,456.57,584.21,456.96,1.30,40.66,228.48,0.00,49.50,84.31,,,03 Jan 2024,1254360000019561668,2,1184.31,AUTHORIZE.NET,2024-01-03
,,BG CONCRETE SERVICE - PATIO & CLEANING,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8406,2023-11-28,2023-12-28,paid,630.00,304.22,289.03,206.16,1.30,31.39,103.08,0.00,28.35,,,,12 Jan 2024,1254360000019561597,1,735.08,AUTHORIZE.NET,2024-01-12
,,NICKS CONCRETE SERVICES,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8405,2023-11-28,2023-12-28,paid,359.94,189.00,151.29,98.04,1.30,26.28,49.02,0.00,16.20,,,,05 Jan 2024,1254360000019561538,1,392.98,AUTHORIZE.NET,2024-01-05
,,ARREOLA CONCRETE,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8404,2023-11-28,2023-12-28,paid,1199.88,411.14,718.18,617.40,1.30,,308.70,0.00,53.99,118.24,,,,1254360000019561223,1,1411.11,AUTHORIZE.NET,2024-03-27
,,MANDELA CONCRETE CONSTRUCTION LLC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8403,2023-11-28,2024-01-12,paid,323.97,94.50,211.41,186.54,1.30,56.51,93.27,0.00,14.58,,,,29 Jan 2024,1254360000019561162,1,361.21,AUTHORIZE.NET,2024-01-29
,,ALTERNATIVE MAINTENANCE SOLUTIONS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8402,2023-11-28,2023-12-28,paid,1054.00,328.00,726.00,627.60,1.30,59.54,313.80,0.00,0.00,,,,07 Jan 2024,1254360000019561088,1,1178.74,CHECK,2024-01-07
,,ROLLING HILLS SCAPES,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8401,2023-11-28,2024-02-01,paid,299.97,109.35,174.00,144.32,1.30,47.07,72.16,0.00,13.50,,,,05 Feb 2024,1254360000019561054,1,332.31,AUTHORIZE.NET,2024-02-05
,,HOUSLEY GROUP,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8400,2023-11-27,2023-12-27,paid,0.00,86.08,-86.08,-105.90,1.30,0.00,-52.95,0.00,0.00,,,,,1254360000019545563,0,0.00,,
,,NYMAN CONSTRUCTION,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8399,2023-11-27,2023-12-27,paid,500.00,320.41,152.66,72.97,1.00,30.53,36.48,0.00,22.50,,,,18 Dec 2023,1254360000019545486,1,538.52,AUTHORIZE.NET,2023-12-18
,,DAVID LEECH CONSTRUCTION,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8398,2023-11-27,2023-12-27,paid,3799.80,2400.74,1195.95,898.41,1.00,31.47,449.20,0.00,170.99,,,,12 Dec 2023,1254360000019545400,3,4062.22,AUTHORIZE.NET,2023-12-12
,,CITY OF PHARR,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8397,2023-11-27,2023-12-27,paid,3249.75,943.25,2137.74,1877.29,1.00,65.78,938.64,0.00,146.24,,,,20 Dec 2023,1254360000019545276,2,3375.25,AUTHORIZE.NET,2023-12-20
,,NORTH STATE MASONRY,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8396,2023-11-27,2023-12-27,paid,3899.80,1790.80,1895.39,1445.77,1.00,48.60,722.88,0.00,175.49,,,,27 Nov 2023,1254360000019545093,1,4272.29,AUTHORIZE.NET,2023-11-27
,,CONCRETE DR. CORP,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8395,2023-11-22,2023-12-22,paid,291.06,117.00,157.89,125.86,1.30,42.19,62.93,0.00,13.10,,,,15 Dec 2023,1254360000019500496,1,323.38,AUTHORIZE.NET,2023-12-15
,,"BMP & ASSOCIATES, INC.",RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8394,2023-11-22,2023-12-22,paid,599.99,336.31,231.86,135.79,1.30,21.83,67.89,0.00,27.00,36.35,,,12 Jan 2024,1254360000019500396,1,636.34,AUTHORIZE.NET,2024-01-12
,,RMB CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8393,2023-11-22,2023-12-22,paid,2759.88,2103.29,508.97,321.41,1.30,10.80,160.70,0.00,124.19,192.54,,,07 May 2024,1254360000019500270,7,2952.42,AUTHORIZE.NET,2024-05-07
,,MORALES GENERAL CONSTRUCTION,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8392,2023-11-22,2023-12-22,paid,599.94,212.18,387.76,324.11,1.30,54.02,162.05,0.00,0.00,38.41,,,14 Dec 2023,1254360000019500080,1,638.35,CHECK,2023-12-14
,,MARK SHOCKLEY LANDSCAPING,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8391,2023-11-22,2023-12-22,paid,99.90,38.90,54.53,44.83,1.30,42.90,22.42,0.00,4.50,29.57,,,28 Dec 2023,1254360000019500011,1,129.47,AUTHORIZE.NET,2023-12-28
,,PRECISION CONCRETE,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8390,2023-11-20,2023-12-20,paid,919.80,434.60,485.20,354.82,1.30,38.58,177.41,0.00,0.00,146.24,,,,1254360000019477773,0,0.00,,
,,DANCO BUILDERS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8389,2023-11-20,2023-12-20,paid,129.90,64.70,56.53,39.94,1.30,,19.97,0.00,5.85,31.47,,,,1254360000019477411,1,173.39,AUTHORIZE.NET,2023-11-20
,,SUPERIOR SOLUTIONS CONCRETE,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8388,2023-11-20,2023-12-20,paid,173.94,70.50,93.53,74.46,1.30,41.61,37.23,0.00,7.83,24.32,,,02 Jan 2024,1254360000019477123,1,198.26,AUTHORIZE.NET,2024-01-02
,,STONE OAK LANDSCAPES,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8387,2023-11-20,2023-12-20,paid,239.97,81.19,145.14,123.62,1.30,50.33,61.81,0.00,10.80,32.91,,,29 Dec 2023,1254360000019477084,1,272.88,AUTHORIZE.NET,2023-12-29
,,ELITE CRETE LLC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8386,2023-11-20,2023-12-20,paid,804.24,455.52,304.70,175.87,1.30,20.89,87.94,0.00,36.19,76.10,,,22 Nov 2023,1254360000019471172,1,880.34,AUTHORIZE.NET,2023-11-22
,,"BMP & ASSOCIATES, INC.",RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8385,2023-11-20,2023-12-20,paid,1999.50,830.00,1065.13,848.52,1.30,41.72,424.26,0.00,89.98,87.87,,,12 Jan 2024,1254360000019471087,1,2087.37,AUTHORIZE.NET,2024-01-12
,,HANSEN BROS ENTERPRISES,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8384,2023-11-20,2024-01-10,paid,3119.88,2079.52,863.22,644.91,1.30,19.49,322.45,0.00,140.39,134.34,,,22 Jan 2024,1254360000019471043,1,3542.81,AUTHORIZE.NET,2024-01-22
,,DEAL CONCRETE CORP,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8383,2023-11-16,2023-12-16,paid,3899.85,1791.36,2108.49,1789.66,1.30,45.89,894.83,0.00,0.00,236.36,,,14 Dec 2023,1254360000019440127,1,4136.21,CHECK,2023-12-14
,,TENNESSEE CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8382,2023-11-16,2023-12-16,paid,1129.96,421.88,646.27,536.67,1.30,46.52,268.33,0.00,50.85,,,,16 Nov 2023,1254360000019434888,1,1236.17,AUTHORIZE.NET,2023-11-16
,,MARROU CONCRETE INC.,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8381,2023-11-16,2024-01-14,paid,3899.98,2343.21,1556.77,1072.39,1.30,27.50,536.19,0.00,0.00,,,,11 Jan 2024,1254360000019434815,1,4037.82,CHECK,2024-01-11
,,SALT RIVER PROJECT,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8380,2023-11-16,2024-01-04,paid,7499.75,3566.07,3517.82,2895.17,1.30,37.56,1447.58,0.00,337.49,,,,22 Jan 2024,1254360000019434592,4,8317.24,AUTHORIZE.NET,2024-01-22
,,DILLSAVER CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8379,2023-11-16,2023-12-16,paid,149.98,59.46,82.33,65.93,1.30,43.00,32.97,0.00,6.75,,,,18 Dec 2023,1254360000019434562,1,163.85,AUTHORIZE.NET,2023-12-18
,,STAR FLATWORK LLC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8378,2023-11-16,2023-12-16,paid,119.88,47.40,72.48,58.26,1.30,,29.13,0.00,0.00,38.32,,,,1254360000019434503,1,158.20,CHECK,2023-12-14
,,HARD AS A ROCK LLC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8377,2023-11-16,2023-12-16,paid,779.97,283.40,455.41,376.45,1.30,47.49,188.23,0.00,35.10,,,,18 Mar 2024,1254360000019434469,1,823.21,AUTHORIZE.NET,2024-03-18
,,BLACKMON CONCRETE & FOUNDATION INC,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8376,2023-11-16,2023-12-16,paid,659.94,224.49,399.79,338.41,1.30,50.37,169.20,0.00,29.70,,,,12 Jan 2024,1254360000019434376,1,713.26,AUTHORIZE.NET,2024-01-12
,,ASHLAN CONCRETE CUTTING,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8375,2023-11-16,2023-12-16,paid,2399.94,1235.42,1164.52,1164.52,1.30,,582.26,0.00,0.00,133.24,,,,1254360000019434303,1,2533.18,CHECK,2024-01-07
,,DT CONCRETE,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8374,2023-11-16,2024-01-15,paid,799.99,141.30,647.22,580.30,1.30,75.60,290.15,0.00,36.00,,,,21 Feb 2024,1254360000019434233,3,944.45,CHECK; AUTHORIZE.NET,2024-02-21
,,QMA PATIOS LLC,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8373,2023-11-16,2023-12-16,paid,311.76,60.00,242.55,219.73,1.30,,109.87,0.00,14.03,29.35,,,,1254360000019434170,2,366.21,CHECK; AUTHORIZE.NET,2023-12-14
,,HIGH RIDGE CONSTRUCTION,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8372,2023-11-16,2023-12-16,paid,959.88,319.08,589.99,501.88,1.30,51.49,250.94,0.00,43.19,,,,02 Jan 2024,1254360000019434111,1,1016.20,AUTHORIZE.NET,2024-01-02
,,AMERICAN TRACK,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8371,2023-11-15,2023-12-15,paid,0.00,206.79,-206.79,-268.83,1.30,0.00,-134.41,0.00,0.00,,,,,1254360000019410845,0,0.00,,
,,JESSE'S CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8370,2023-11-15,2023-12-15,paid,308.65,112.44,177.37,148.59,1.30,46.54,74.29,0.00,13.89,39.62,,,09 Jan 2024,1254360000019410764,1,376.82,AUTHORIZE.NET,2024-01-09
,,PACIFIC STAIR,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8369,2023-11-13,2023-12-13,paid,1800.00,742.80,1057.20,852.36,1.30,47.35,426.18,0.00,0.00,58.34,,,14 Dec 2023,1254360000019399350,1,1858.34,CHECK,2023-12-14
,,DP CONCRETE & LANDSCAPING INC.,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8368,2023-11-13,2023-12-13,paid,824.97,252.84,572.13,496.28,1.30,60.16,248.14,0.00,0.00,62.41,,,14 Dec 2023,1254360000019399077,1,887.38,CHECK,2023-12-14
,,MAASS MASONRY,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8367,2023-11-13,2023-12-13,paid,199.75,66.25,133.50,113.63,1.30,56.88,56.81,0.00,0.00,19.39,,,14 Dec 2023,1254360000019399011,1,219.14,CHECK,2023-12-14
,,ROCK GARDEN NURSERY,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8366,2023-11-10,2023-12-10,paid,319.96,86.92,214.97,192.57,1.30,59.04,96.28,0.00,14.40,41.54,,,27 Nov 2023,1254360000019384426,1,361.50,AUTHORIZE.NET,2023-11-27
,,EXPOSED DESIGN GROUP,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8365,2023-11-10,2023-12-10,paid,449.97,177.88,247.78,210.48,1.00,55.07,105.24,0.00,20.25,36.24,,,10 Nov 2023,1254360000019384178,1,486.21,AUTHORIZE.NET,2023-11-10
,,QMA PATIOS LLC,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8364,2023-11-10,2023-12-10,void,149.94,33.00,116.94,107.04,1.30,,53.52,184.13,,22.12,,,,1254360000019384029,0,0.00,,
,,LAKESIDE EXCAVATION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8363,2023-11-09,2023-12-09,paid,2339.00,1631.76,573.22,466.16,1.30,18.70,233.08,0.00,105.25,148.35,,,09 Nov 2023,1254360000019372999,1,2680.32,AUTHORIZE.NET,2023-11-09
,,EXCEL SITE SERVICES INC.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8362,2023-11-09,2023-12-09,paid,1245.00,755.00,418.32,237.47,1.00,33.60,118.74,0.00,56.02,73.38,,,09 Dec 2023,1254360000019372419,1,1433.54,AUTHORIZE.NET,2023-12-09
,,JP PLAYGROUNDS INC.,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8361,2023-11-09,2023-12-09,paid,599.00,271.00,294.52,219.75,1.30,35.60,109.87,0.00,26.95,19.65,,,15 Nov 2023,1254360000019372389,1,669.57,AUTHORIZE.NET,2023-11-15
,,PORTAL GRANITE DESIGNS,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8360,2023-11-09,2023-12-12,paid,300.99,228.43,56.04,-9.51,1.30,-4.15,-4.76,0.00,13.54,29.35,,,20 Dec 2023,1254360000019372255,1,330.34,AUTHORIZE.NET,2023-12-20
,,CONCRETE DR. CORP,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8359,2023-11-09,2023-12-09,void,291.06,145.50,145.56,101.91,1.30,,50.95,323.38,,32.32,,,,1254360000019372184,0,0.00,,
,,FIVE STAR CONCRETE INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8358,2023-11-09,2023-12-09,paid,779.96,256.77,523.19,446.16,1.30,57.20,223.08,0.00,0.00,,,,14 Dec 2023,1254360000019372007,1,842.17,CHECK,2023-12-14
,,MCVAN DEVELOPMENT,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8357,2023-11-08,2023-12-08,paid,417.27,141.90,249.91,214.02,1.30,49.69,107.01,0.00,18.78,,,,12 Jan 2024,1254360000019364028,1,509.14,AUTHORIZE.NET,2024-01-12
,,LAKESIDE EXCAVATION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8356,2023-11-08,2023-12-08,paid,539.97,170.92,337.84,299.48,1.30,54.18,149.74,0.00,24.30,,,,08 Nov 2023,1254360000019350615,1,624.23,AUTHORIZE.NET,2023-11-08
,,MARK ROCK PRODUCTS,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8355,2023-11-08,2023-12-08,paid,259.99,70.85,174.10,156.19,1.30,58.79,78.09,0.00,11.70,,,,12 Dec 2023,1254360000019350485,1,300.75,AUTHORIZE.NET,2023-12-12
,,MARCUS'S MASONRY,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8354,2023-11-08,2023-12-08,paid,187.50,52.50,124.02,110.81,1.30,57.74,55.41,0.00,8.44,,,,12 Dec 2023,1254360000019350408,1,219.61,AUTHORIZE.NET,2023-12-12
,,AMERICAN TRACK,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8353,2023-11-07,2023-12-07,paid,1559.88,418.00,1058.73,958.29,1.30,60.60,479.14,0.00,70.19,,,,07 Nov 2023,1254360000019356669,1,1663.09,AUTHORIZE.NET,2023-11-07
,,RICHARD SPURGEON BRICK,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8352,2023-11-07,2023-12-21,paid,600.00,339.10,260.90,159.17,1.00,43.48,79.59,0.00,0.00,,,,16 Dec 2023,1254360000019356610,1,686.32,CHECK,2023-12-16
,,THE WORLD OF MASONRY,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8351,2023-11-07,2023-12-07,paid,1599.92,657.28,862.64,673.46,1.00,53.92,336.73,0.00,72.00,,,,07 Nov 2023,1254360000019356305,1,1599.92,AUTHORIZE.NET,2023-11-07
,,K&L FOUNDATIONS INC.,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8350,2023-11-07,2023-12-13,paid,199.80,129.40,70.40,31.58,1.30,15.81,15.79,0.00,0.00,,,,14 Dec 2023,1254360000019350378,1,253.22,CHECK,2023-12-14
,,JESUS JACQUEZ CONSTRUCTION,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8349,2023-11-06,2023-12-06,paid,1978.38,778.26,1200.12,966.64,1.30,48.86,483.32,0.00,0.00,,,,10 Jan 2024,1254360000019338300,3,2260.19,CHECK,2024-01-10
,,MCCLURE & CO CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8348,2023-11-06,2023-12-06,paid,0.00,1.00,-1.00,-1.30,1.30,0.00,-0.65,0.00,0.00,,,,,1254360000019338260,0,0.00,,
,,CROCK CONCRETE,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8347,2023-11-03,2023-12-03,paid,1199.94,492.96,643.37,505.09,1.30,41.29,252.55,0.00,54.00,,,,12 Dec 2023,1254360000019328449,1,1272.26,AUTHORIZE.NET,2023-12-12
,,BOLANDER & SONS,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8346,2023-11-03,2023-12-08,paid,10097.79,5835.97,4261.82,2785.13,1.00,42.21,1392.57,0.00,0.00,416.16,,,03 Jan 2024,1254360000019328288,1,10513.95,CHECK,2024-01-03
,,DNR****PRONOUNCED CONCRETE****DNR,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8345,2023-11-03,2023-12-03,paid,239.94,46.50,179.98,168.69,1.30,69.20,84.35,0.00,10.80,29.27,,,20 Dec 2023,1254360000019328128,1,269.21,AUTHORIZE.NET,2023-12-20
,,AS SPECIALTY SERVICES LLC,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8344,2023-11-03,2023-12-03,paid,0.00,1.00,-1.00,-1.30,1.00,0.00,-0.65,0.00,0.00,0.00,,,,1254360000019325903,0,0.00,,
,,CAROLINA ASPHALT PAVING INC,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8343,2023-11-03,2023-12-03,paid,719.94,189.00,492.02,441.84,1.30,60.47,220.92,0.00,32.40,58.54,,,11 Dec 2023,1254360000019325871,1,778.48,AUTHORIZE.NET,2023-12-11
,,CHIRCO GRANITE & FABRICATION,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8342,2023-11-03,2023-12-03,paid,599.94,277.92,287.26,211.65,1.30,33.98,105.82,0.00,27.00,43.07,,,04 Dec 2023,1254360000019325820,1,695.20,AUTHORIZE.NET,2023-12-04
,,PRO MOTIONS LLC,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8341,2023-11-03,2023-12-07,paid,911.88,260.76,601.46,531.86,1.30,,265.93,0.00,41.03,81.22,,,,1254360000019325761,1,993.10,AUTHORIZE.NET,2023-12-26
,,MANUEL SANCHEZ LANDSCAPING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8340,2023-11-03,2023-12-03,paid,1598.75,873.75,631.61,390.93,1.00,39.51,195.47,0.00,71.94,144.27,,,08 Feb 2024,1254360000019325652,1,1867.72,AUTHORIZE.NET,2024-02-08
,,ALLIED CONCRETE SERVICES,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8339,2023-11-03,2024-01-02,paid,973.53,306.55,666.98,575.01,1.30,59.06,287.51,0.00,0.00,73.91,,,02 Jan 2024,1254360000019325567,1,1137.49,CHECK,2024-01-02
,,GHILOTTI BROS.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8338,2023-11-03,2023-12-03,paid,4859.73,1912.95,2946.78,2372.89,1.00,60.64,1186.45,0.00,0.00,164.35,,,26 Dec 2023,1254360000019325450,1,5461.46,CHECK,2023-12-26
,,NAPA/ACC,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8337,2023-11-03,2023-11-03,paid,3999.80,1760.00,2032.52,1531.81,1.00,50.82,765.90,0.00,179.99,145.79,,,03 Nov 2023,1254360000019325279,1,4145.59,AUTHORIZE.NET,2023-11-03
,,BUCK'S CONCRETE & PAVERS,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8336,2023-11-03,2023-12-03,void,419.94,186.00,233.94,178.14,1.30,,89.07,454.20,,34.26,,,,1254360000019325215,0,0.00,,
,,NOAH ALL CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8335,2023-11-03,2024-02-02,paid,4374.00,2426.86,1728.44,1113.93,1.00,,556.97,0.00,196.83,0.00,,,,1254360000019325131,2,4374.00,AUTHORIZE.NET,2024-01-05
,,JORDAN CONCRETE & CONSTRUCTION,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8334,2023-11-01,2023-12-01,paid,419.94,130.38,265.82,231.55,1.30,53.99,115.77,0.00,18.90,,,,17 Jan 2024,1254360000019300468,1,474.72,PayPal,2024-01-17
,,DNR *** ABACUS CONCRETE,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8333,2023-11-01,2023-12-01,paid,299.97,65.19,217.04,201.72,1.30,65.83,100.86,0.00,13.50,,,,06 Mar 2024,1254360000019300319,1,354.84,AUTHORIZE.NET,2024-03-06
,,EAGLE GRIP COATINGS,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8332,2023-11-01,2023-12-01,paid,1079.85,474.66,605.19,462.79,1.30,42.86,231.40,0.00,0.00,,,,14 Dec 2023,1254360000019300215,1,1129.26,CHECK,2023-12-14
,,JR'S EQUIPMENT,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8331,2023-11-01,2023-12-01,paid,2850.00,1442.00,1265.50,847.15,1.30,29.22,423.57,0.00,128.25,,,,01 Nov 2023,1254360000019300001,1,2850.00,AUTHORIZE.NET,2023-11-01
,,PERRIGO MASONRY,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8330,2023-10-31,2023-11-30,paid,791.76,159.20,590.16,555.17,1.30,69.26,277.59,0.00,35.63,,,,09 Dec 2023,1254360000019291578,1,848.08,AUTHORIZE.NET,2023-12-09
,,WERNETTE MASONRY,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8329,2023-10-31,2023-11-30,paid,1259.91,312.88,880.10,808.47,1.30,63.36,404.24,0.00,56.70,,,,04 Dec 2023,1254360000019291477,1,1338.64,AUTHORIZE.NET,2023-12-04
,,EAST CONTRA COSTA IRRIGATION DISTRICT,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8328,2023-10-31,2023-11-30,paid,124.75,33.00,91.75,81.85,1.30,65.61,40.92,0.00,0.00,,,,20 Nov 2023,1254360000019291418,1,157.63,CHECK,2023-11-20
,,ARPS RED-E-MIX INC.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8327,2023-10-31,2023-12-07,paid,3600.00,1905.00,1695.00,1123.50,1.00,47.08,561.75,0.00,0.00,,,,27 Nov 2023,1254360000019291114,1,3761.47,CHECK,2023-11-27
,,PLATT DESIGN,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8326,2023-10-31,2023-12-05,paid,95.94,33.00,56.37,48.72,1.30,,24.36,0.00,4.32,28.54,,,,1254360000019291057,1,131.44,AUTHORIZE.NET,2024-01-08
,,SWITCHGEAR SOLUTIONS INC,JERRY PULERA,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8325,2023-10-31,2023-11-30,void,299.97,114.50,185.47,157.12,1.30,,78.56,324.48,,0.00,,,,1254360000019291009,0,0.00,,
,,ASHLAN CONCRETE CUTTING,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,8324,2023-10-30,2023-11-29,paid,1199.96,561.56,638.40,638.40,1.30,53.20,319.20,0.00,0.00,,,,21 Dec 2023,1254360000019283005,1,1272.30,CHECK,2023-12-21
